tick,Source 1.activity,Source 1.storage,Source 1.total,Modulating 2.activity,Modulating 2.storage,Modulating 2.total,Buffering 3.activity,Buffering 3.storage,Buffering 3.total,Sink 4.activity,Sink 4.storage,Sink 4.total,Sensing 5.activity,Sensing 5.storage,Sensing 5.total,Inverting 6.activity,Inverting 6.storage,Inverting 6.total
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,0,0,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0
4,3,0,0,3,0,0,1,4,0,1,0,1,0.4,0,0,1,0,0
5,3,0,0,3,0,0,1,6,0,1,0,2,0.8,0,0,0.6,0,0
6,3,0,0,1.8000001,0,0,1,8,0,1,0,3,1.2,0,0,0.19999999,0,0
7,3,0,0,0.59999996,0,0,1,8.8,0,1,0,4,1.6,0,0,0,0,0
8,3,0,0,0,0,0,1,8.400001,0,1,0,5,1.7600001,0,0,0,0,0
9,3,0,0,0,0,0,1,7.4000006,0,1,0,6,1.6800002,0,0,0,0,0
10,3,0,0,0,0,0,1,6.4000006,0,1,0,7,1.4800001,0,0,0,0,0
11,3,0,0,0,0,0,1,5.4000006,0,1,0,8,1.2800001,0,0,0,0,0
12,3,0,0,0,0,0,1,4.4000006,0,1,0,9,1.0800002,0,0,0,0,0
13,3,0,0,0,0,0,1,3.4000006,0,1,0,10,0.8800001,0,0,0,0,0
14,3,0,0,0,0,0,1,2.4000006,0,1,0,11,0.6800001,0,0,0.119999886,0,0
15,3,0,0,0.35999966,0,0,1,1.4000006,0,1,0,12,0.4800001,0,0,0.31999987,0,0
16,3,0,0,0.9599996,0,0,1,0.7600002,0,1,0,13,0.28000012,0,0,0.51999986,0,0
17,3,0,0,1.5599996,0,0,1,0.7199998,0,1,0,14,0.15200005,0,0,0.7199999,0,0
18,3,0,0,2.1599998,0,0,1,1.2799993,0,1,0,15,0.14399996,0,0,0.84799993,0,0
19,3,0,0,2.5439997,0,0,1,2.439999,0,1,0,16,0.25599986,0,0,0.85600007,0,0
20,3,0,0,2.5680003,0,0,1,3.9839988,0,1,0,17,0.48799983,0,0,0.74400014,0,0
21,3,0,0,2.2320004,0,0,1,5.551999,0,1,0,18,0.7967998,0,0,0.5120002,0,0
22,3,0,0,1.5360006,0,0,1,6.7839994,0,1,0,19,1.1103998,0,0,0.20320022,0,0
23,3,0,0,0.60960066,0,0,1,7.3199997,0,1,0,20,1.3568,0,0,0,0,0
24,3,0,0,0,0,0,1,6.9296002,0,1,0,21,1.464,0,0,0,0,0
25,3,0,0,0,0,0,1,5.9296002,0,1,0,22,1.38592,0,0,0,0,0
26,3,0,0,0,0,0,1,4.9296002,0,1,0,23,1.1859201,0,0,0,0,0
27,3,0,0,0,0,0,1,3.9296002,0,1,0,24,0.9859201,0,0,0,0,0
28,3,0,0,0,0,0,1,2.9296002,0,1,0,25,0.7859201,0,0,0.014079928,0,0
29,3,0,0,0.042239785,0,0,1,1.9296002,0,1,0,26,0.58592004,0,0,0.21407992,0,0
30,3,0,0,0.64223975,0,0,1,0.97184,0,1,0,27,0.38592005,0,0,0.41407996,0,0
31,3,0,0,1.24224,0,0,1,0.6140797,0,1,0,28,0.194368,0,0,0.61407995,0,0
32,3,0,0,1.8422399,0,0,1,0.85631967,0,1,0,29,0.122815944,0,0,0.805632,0,0
33,3,0,0,2.4168959,0,0,1,1.6985595,0,1,0,30,0.17126393,0,0,0.87718403,0,0
34,3,0,0,2.6315522,0,0,1,3.1154556,0,1,0,31,0.3397119,0,0,0.82873607,0,0
35,3,0,0,2.4862082,0,0,1,4.747008,0,1,0,32,0.62309116,0,0,0.6602881,0,0
36,3,0,0,1.9808643,0,0,1,6.2332163,0,1,0,33,0.94940156,0,0,0.37690884,0,0
37,3,0,0,1.1307266,0,0,1,7.214081,0,1,0,34,1.2466433,0,0,0.050598443,0,0
38,3,0,0,0.15179533,0,0,1,7.3448076,0,1,0,35,1.4428161,0,0,0,0,0
39,3,0,0,0,0,0,1,6.496603,0,1,0,36,1.4689616,0,0,0,0,0
