tick,Source 1.activity,Source 1.storage,Source 1.total,Modulating 2.activity,Modulating 2.storage,Modulating 2.total,Buffering 3.activity,Buffering 3.storage,Buffering 3.total,Sink 4.activity,Sink 4.storage,Sink 4.total,Sensing 5.activity,Sensing 5.storage,Sensing 5.total,Inverting 6.activity,Inverting 6.storage,Inverting 6.total
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,0,0,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0
4,3,0,0,3,0,0,1,4,0,1,0,1,1.8,0,0,1,0,0
5,3,0,0,3,0,0,1,6,0,1,0,2,3.6,0,0,0,0,0
6,3,0,0,0,0,0,1,8,0,1,0,3,5.3999996,0,0,0,0,0
7,3,0,0,0,0,0,1,7,0,1,0,4,7.2,0,0,0,0,0
8,3,0,0,0,0,0,1,6,0,1,0,5,6.2999997,0,0,0,0,0
9,3,0,0,0,0,0,1,5,0,1,0,6,5.3999996,0,0,0,0,0
10,3,0,0,0,0,0,1,4,0,1,0,7,4.5,0,0,0,0,0
11,3,0,0,0,0,0,1,3,0,1,0,8,3.6,0,0,0,0,0
12,3,0,0,0,0,0,1,2,0,1,0,9,2.6999998,0,0,0,0,0
13,3,0,0,0,0,0,1,1,0,1,0,10,1.8,0,0,0,0,0
14,3,0,0,0,0,0,1,0,0,1,0,11,0.9,0,0,0,0,0
15,3,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0.100000024,0,0
16,3,0,0,0.30000007,0,0,0,0,0,0,0,12,0,0,0,1,0,0
17,3,0,0,3,0,0,0.30000007,0,0,0,0,12,0,0,0,1,0,0
18,3,0,0,3,0,0,1,2,0,0.30000007,0,12.3,0,0,0,1,0,0
19,3,0,0,3,0,0,1,4,0,1,0,13.3,1.8,0,0,1,0,0
20,3,0,0,3,0,0,1,6,0,1,0,14.3,3.6,0,0,0,0,0
21,3,0,0,0,0,0,1,8,0,1,0,15.3,5.3999996,0,0,0,0,0
22,3,0,0,0,0,0,1,7,0,1,0,16.3,7.2,0,0,0,0,0
23,3,0,0,0,0,0,1,6,0,1,0,17.3,6.2999997,0,0,0,0,0
24,3,0,0,0,0,0,1,5,0,1,0,18.3,5.3999996,0,0,0,0,0
25,3,0,0,0,0,0,1,4,0,1,0,19.3,4.5,0,0,0,0,0
26,3,0,0,0,0,0,1,3,0,1,0,20.3,3.6,0,0,0,0,0
27,3,0,0,0,0,0,1,2,0,1,0,21.3,2.6999998,0,0,0,0,0
28,3,0,0,0,0,0,1,1,0,1,0,22.3,1.8,0,0,0,0,0
29,3,0,0,0,0,0,1,0,0,1,0,23.3,0.9,0,0,0,0,0
30,3,0,0,0,0,0,0,0,0,1,0,24.3,0,0,0,0.100000024,0,0
31,3,0,0,0.30000007,0,0,0,0,0,0,0,24.3,0,0,0,1,0,0
32,3,0,0,3,0,0,0.30000007,0,0,0,0,24.3,0,0,0,1,0,0
33,3,0,0,3,0,0,1,2,0,0.30000007,0,24.599998,0,0,0,1,0,0
34,3,0,0,3,0,0,1,4,0,1,0,25.599998,1.8,0,0,1,0,0
35,3,0,0,3,0,0,1,6,0,1,0,26.599998,3.6,0,0,0,0,0
36,3,0,0,0,0,0,1,8,0,1,0,27.599998,5.3999996,0,0,0,0,0
37,3,0,0,0,0,0,1,7,0,1,0,28.599998,7.2,0,0,0,0,0
38,3,0,0,0,0,0,1,6,0,1,0,29.599998,6.2999997,0,0,0,0,0
39,3,0,0,0,0,0,1,5,0,1,0,30.599998,5.3999996,0,0,0,0,0
40,3,0,0,0,0,0,1,4,0,1,0,31.599998,4.5,0,0,0,0,0
41,3,0,0,0,0,0,1,3,0,1,0,32.6,3.6,0,0,0,0,0
42,3,0,0,0,0,0,1,2,0,1,0,33.6,2.6999998,0,0,0,0,0
43,3,0,0,0,0,0,1,1,0,1,0,34.6,1.8,0,0,0,0,0
44,3,0,0,0,0,0,1,0,0,1,0,35.6,0.9,0,0,0,0,0
45,3,0,0,0,0,0,0,0,0,1,0,36.6,0,0,0,0.100000024,0,0
