tick,Source 1.activity,Source 1.storage,Source 1.total,Buffering 2.activity,Buffering 2.storage,Buffering 2.total,Modulating 3.activity,Modulating 3.storage,Modulating 3.total,Buffering 4.activity,Buffering 4.storage,Buffering 4.total,Sink 5.activity,Sink 5.storage,Sink 5.total,Sensing 6.activity,Sensing 6.storage,Sensing 6.total
1,2,0,0,2,6,0,0,0,0,0.6,3.4,0,0,0,0,0.6,0,0
2,2,0,0,2,6,0,1.2,0,0,0.6,2.8000002,0,0.6,0,0.6,0.51000005,0,0
3,2,0,0,2,6,0,1.0200001,0,0,0.6,3.4,0,0.6,0,1.2,0.42000005,0,0
4,2,0,0,2,6,0,0.8400001,0,0,0.6,3.8200002,0,0.6,0,1.8000001,0.51000005,0,0
5,2,0,0,2,6,0,1.0200001,0,0,0.6,4.0600004,0,0.6,0,2.4,0.5730001,0,0
6,2,0,0,2,6,0,1.1460001,0,0,0.6,4.4800005,0,0.6,0,3,0.6090001,0,0
7,2,0,0,2,6,0,1.2180002,0,0,0.6,5.0260005,0,0.6,0,3.6,0.6720001,0,0
8,2,0,0,2,6,0,1.3440002,0,0,0.6,5.6440005,0,0.6,0,4.2,0.7539001,0,0
9,2,0,0,2,6,0,1.5078002,0,0,0.6,6.388001,0,0.6,0,4.7999997,0.8466001,0,0
10,2,0,0,2,6,0,1.6932002,0,0,0.6,7.295801,0,0.6,0,5.3999996,0.95820016,0,0
11,2,0,0,2,6,0,1.9164003,0,0,0.6,8.389001,0,0.6,0,5.9999995,1.0943702,0,0
12,2,0,0,2,6,0,2,0,0,0.6,9.7054,0,0.6,0,6.5999994,1.2583501,0,0
13,2,0,0,2,6,0,2,0,0,0.6,11.1054,0,0.6,0,7.1999993,1.4558101,0,0
14,2,0,0,2,6,0,2,0,0,0.6,12.5054,0,0.6,0,7.799999,1.6658101,0,0
15,2,0,0,2,6,0,2,0,0,0.6,13.905399,0,0.6,0,8.4,1.87581,0,0
16,2,0,0,2,6,0,2,0,0,0.6,15.305399,0,0.6,0,9,2.08581,0,0
17,2,0,0,2,6,0,2,0,0,0.6,16.705399,0,0.6,0,9.6,2.29581,0,0
18,2,0,0,2,6,0,2,0,0,0.6,18.105398,0,0.6,0,10.200001,2.5058098,0,0
19,2,0,0,2,6,0,2,0,0,0.6,19.505398,0,0.6,0,10.800001,2.7158098,0,0
20,2,0,0,2,6,0,2,0,0,0.6,20.905397,0,0.6,0,11.400002,2.9258099,0,0
21,2,0,0,2,6,0,2,0,0,0.6,22.305397,0,0.6,0,12.000002,3.1358097,0,0
22,2,0,0,2,6,0,2,0,0,0.6,23.705397,0,0.6,0,12.600002,3.3458097,0,0
23,2,0,0,2,6,0,2,0,0,0.6,25.105396,0,0.6,0,13.200003,3.5558097,0,0
24,2,0,0,2,6,0,2,0,0,0.6,26.505396,0,0.6,0,13.800003,3.7658095,0,0
25,2,0,0,2,6,0,2,0,0,0.6,27.905396,0,0.6,0,14.400003,3.9758096,0,0
26,2,0,0,2,6,0,2,0,0,0.6,29.305395,0,0.6,0,15.000004,4.1858096,0,0
27,2,0,0,2,6,0,2,0,0,0.6,30.705395,0,0.6,0,15.600004,4.3958097,0,0
28,2,0,0,2,6,0,2,0,0,0.6,32.105396,0,0.6,0,16.200005,4.605809,0,0
29,2,0,0,2,6,0,2,0,0,0.6,33.505398,0,0.6,0,16.800005,4.8158097,0,0
30,2,0,0,2,6,0,2,0,0,0.6,34.9054,0,0.6,0,17.400005,5.02581,0,0
31,2,0,0,2,6,0,2,0,0,0.6,36.3054,0,0.6,0,18.000006,5.2358103,0,0
32,2,0,0,2,6,0,2,0,0,0.6,37.705402,0,0.6,0,18.600006,5.4458103,0,0
33,2,0,0,2,6,0,2,0,0,0.6,39.105404,0,0.6,0,19.200006,5.6558104,0,0
34,2,0,0,2,6,0,2,0,0,0.6,40.505405,0,0.6,0,19.800007,5.865811,0,0
35,2,0,0,2,6,0,2,0,0,0.6,41.905407,0,0.6,0,20.400007,6.075811,0,0
36,2,0,0,2,6,0,2,0,0,0.6,43.30541,0,0.6,0,21.000008,6.2858114,0,0
37,2,0,0,2,6,0,2,0,0,0.6,44.70541,0,0.6,0,21.600008,6.4958115,0,0
38,2,0,0,2,6,0,2,0,0,0.6,46.10541,0,0.6,0,22.200008,6.705812,0,0
39,2,0,0,2,6,0,2,0,0,0.6,47.505413,0,0.6,0,22.800009,6.915812,0,0
