tick,Source 1.activity,Source 1.storage,Source 1.total,Buffering 2.activity,Buffering 2.storage,Buffering 2.total,Modulating 3.activity,Modulating 3.storage,Modulating 3.total,Propelling 4.activity,Propelling 4.storage,Propelling 4.total,Buffering 5.activity,Buffering 5.storage,Buffering 5.total,Sink 6.activity,Sink 6.storage,Sink 6.total,Sensing 7.activity,Sensing 7.storage,Sensing 7.total
1,2,0,0,0,8,0,0,0,0,0,0,0,0.5,3.5,0,0,0,0,0.16,0,0
2,2,0,0,0.5333333,9.466667,0,0,0,0,0,0,0,0.4375,3.0625,0,0.5,0,0.5,0.14,0,0
3,2,0,0,0.5351111,10.931556,0,0.5333333,0,0,0,0,0,0.3828125,2.6796875,0,0.4375,0,0.9375,0.122499995,0,0
4,2,0,0,0.5280385,12.403517,0,0.5351111,0,0,0.26666665,0,0,0.33496094,2.3447266,0,0.3828125,0,1.3203125,0.107187495,0,0
5,2,0,0,0.5146256,13.888891,0,0.5280385,0,0,0.26755556,0,0,0.32642415,2.284969,0,0.33496094,0,1.6552734,0.09378906,0,0
6,2,0,0,0.49673474,15.392157,0,0.5146256,0,0,0.26401925,0,0,0.31906557,2.233459,0,0.32642415,0,1.9816976,0.09139876,0,0
7,2,0,0,0.52987385,16.862282,0,0.49673474,0,0,0.2573128,0,0,0.31218478,2.1852934,0,0.31906557,0,2.3007631,0.089338355,0,0
8,2,0,0,0.56170845,18.300573,0,0.52987385,0,0,0.24836737,0,0,0.30532578,2.1372805,0,0.31218478,0,2.612948,0.08741174,0,0
9,2,0,0,0.5915028,19.70907,0,0.56170845,0,0,0.26493692,0,0,0.29820597,2.087442,0,0.30532578,0,2.9182737,0.08549122,0,0
10,2,0,0,0.61864495,21.090425,0,0.5915028,0,0,0.28085423,0,0,0.29404736,2.0583315,0,0.29820597,0,3.2164798,0.08349767,0,0
11,2,0,0,0.64266557,22.44776,0,0.61864495,0,0,0.2957514,0,0,0.2923982,2.0467875,0,0.29404736,0,3.5105271,0.08233326,0,0
12,2,0,0,0.6709545,23.776806,0,0.64266557,0,0,0.30932248,0,0,0.29281735,2.0497215,0,0.2923982,0,3.8029253,0.081871495,0,0
13,2,0,0,0.7034619,25.073343,0,0.6709545,0,0,0.32133278,0,0,0.2948805,2.0641637,0,0.29281735,0,4.0957427,0.081988856,0,0
14,2,0,0,0.7399041,26.333439,0,0.7034619,0,0,0.33547726,0,0,0.29818705,2.0873094,0,0.2948805,0,4.390623,0.082566544,0,0
15,2,0,0,0.7797981,27.55364,0,0.7399041,0,0,0.35173094,0,0,0.30284834,2.1199384,0,0.29818705,0,4.6888103,0.083492376,0,0
16,2,0,0,0.82250124,28.731138,0,0.7797981,0,0,0.36995205,0,0,0.30895865,2.1627107,0,0.30284834,0,4.9916587,0.08479753,0,0
17,2,0,0,0.86864156,29.862497,0,0.82250124,0,0,0.38989905,0,0,0.31658283,2.2160797,0,0.30895865,0,5.300617,0.08650842,0,0
18,2,0,0,0.9187915,30.943707,0,0.86864156,0,0,0.41125062,0,0,0.32574734,2.2802315,0,0.31658283,0,5.6172,0.088643186,0,0
19,2,0,0,0.9734117,31.970295,0,0.9187915,0,0,0.43432078,0,0,0.33643526,2.3550467,0,0.32574734,0,5.9429474,0.091209255,0,0
20,2,0,0,1.0328017,32.937492,0,0.9734117,0,0,0.45939574,0,0,0.34867093,2.4406965,0,0.33643526,0,6.2793827,0.09420187,0,0
21,2,0,0,1.0970591,33.840435,0,1.0328017,0,0,0.48670584,0,0,0.36251152,2.5375805,0,0.34867093,0,6.6280537,0.097627856,0,0
22,2,0,0,1.1663417,34.674095,0,1.0970591,0,0,0.5164009,0,0,0.37803578,2.6462505,0,0.36251152,0,6.9905653,0.101503216,0,0
23,2,0,0,1.2408462,35.43325,0,1.1663417,0,0,0.54852957,0,0,0.3953314,2.76732,0,0.37803578,0,7.368601,0.10585002,0,0
24,2,0,0,1.32077,36.11248,0,1.2408462,0,0,0.58317083,0,0,0.4144812,2.9013684,0,0.3953314,0,7.763932,0.11069279,0,0
25,2,0,0,1.406259,36.706223,0,1.32077,0,0,0.6204231,0,0,0.4355674,3.048972,0,0.4144812,0,8.178413,0.116054736,0,0
26,2,0,0,1.4973468,37.208878,0,1.406259,0,0,0.660385,0,0,0.45867437,3.2107205,0,0.4355674,0,8.613981,0.121958874,0,0
27,2,0,0,1.5939568,37.61492,0,1.4973468,0,0,0.7031295,0,0,0.4838882,3.3872175,0,0.45867437,0,9.072656,0.12842882,0,0
28,2,0,0,1.6958992,37.91902,0,1.5939568,0,0,0.7486734,0,0,0.51129335,3.5790534,0,0.4838882,0,9.556544,0.1354887,0,0
29,2,0,0,1.8028588,38.11616,0,1.6958992,0,0,0.7969784,0,0,0.54096586,3.786761,0,0.51129335,0,10.067838,0.14316213,0,0
