tick,Buffering 1.activity,Buffering 1.storage,Buffering 1.total,Sink 2.activity,Sink 2.storage,Sink 2.total
1,1.5,28.5,0,0,0,0
2,1.5,27,0,1.5,0,1.5
3,1.5,25.5,0,1.5,0,3
4,1.5,24,0,1.5,0,4.5
5,1.5,22.5,0,1.5,0,6
6,1.5,21,0,1.5,0,7.5
7,1.5,19.5,0,1.5,0,9
8,1.5,18,0,1.5,0,10.5
9,1.5,16.5,0,1.5,0,12
10,1.5,15,0,1.5,0,13.5
11,1.5,13.5,0,1.5,0,15
12,1.5,12,0,1.5,0,16.5
13,1.5,10.5,0,1.5,0,18
14,1.5,9,0,1.5,0,19.5
15,1.5,7.5,0,1.5,0,21
16,1.5,6,0,1.5,0,22.5
17,1.5,4.5,0,1.5,0,24
18,1.5,3,0,1.5,0,25.5
19,1.5,1.5,0,1.5,0,27
20,1.5,0,0,1.5,0,28.5
21,0,0,0,1.5,0,30
22,0,0,0,0,0,30
23,0,0,0,0,0,30
24,0,0,0,0,0,30
25,0,0,0,0,0,30
26,0,0,0,0,0,30
27,0,0,0,0,0,30
28,0,0,0,0,0,30
29,0,0,0,0,0,30
30,0,0,0,0,0,30
31,0,0,0,0,0,30
32,0,0,0,0,0,30
33,0,0,0,0,0,30
34,0,0,0,0,0,30
35,0,0,0,0,0,30
36,0,0,0,0,0,30
37,0,0,0,0,0,30
38,0,0,0,0,0,30
39,0,0,0,0,0,30
40,0,0,0,0,0,30
41,0,0,0,0,0,30
42,0,0,0,0,0,30
43,0,0,0,0,0,30
44,0,0,0,0,0,30
45,0,0,0,0,0,30
46,0,0,0,0,0,30
47,0,0,0,0,0,30
48,0,0,0,0,0,30
49,0,0,0,0,0,30
50,0,0,0,0,0,30
51,0,0,0,0,0,30
52,0,0,0,0,0,30
53,0,0,0,0,0,30
54,0,0,0,0,0,30
55,0,0,0,0,0,30
56,0,0,0,0,0,30
57,0,0,0,0,0,30
58,0,0,0,0,0,30
59,0,0,0,0,0,30
60,0,0,0,0,0,30
